atletas.slug,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,CA,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,A,FT,DP,GC,PP,CV
gabriel,83257,3,262,ata,Provável,0,16.91,0,6.45,Flamengo,1,1,3,2,4,1,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
cassio,42234,3,264,gol,Provável,0.7,3.9,-0.73,0.4,Corinthians,1,NA,NA,NA,1,NA,NA,1,NA,2,4,1,NA,NA,NA,NA,NA,NA
fagner,42500,3,264,lat,Provável,0,11.32,0,8.75,Corinthians,1,1,1,NA,6,NA,NA,4,8,NA,NA,1,NA,NA,NA,NA,NA,NA
diego-alves,38509,3,262,gol,Contundido,0,5,0,0,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
geuvanio,73896,3,282,ata,Provável,2.1,14.51,-0.88,7,Atlético-MG,NA,8,2,2,11,NA,NA,5,8,NA,NA,NA,1,NA,NA,NA,NA,NA
andre-moritz,42208,3,314,mei,Nulo,0,4.56,0,2,Avaí,NA,NA,1,3,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
rene,78445,3,262,lat,Provável,0,6.02,0,-0.25,Flamengo,1,2,NA,NA,2,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedro-geromel,80853,3,284,zag,Provável,0,11.61,0,4.3,Grêmio,1,1,NA,1,2,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
nico-lopez,84709,3,285,ata,Provável,3.2,16.88,-1.55,4.5,Internacional,1,1,2,4,1,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA
fabio,37656,3,283,gol,Provável,1,11.59,-2.18,6.33,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,NA,1,NA,NA,NA
dede,60819,3,283,zag,Provável,8.7,15.63,0.68,6.57,Cruzeiro,NA,1,NA,1,2,1,NA,7,5,NA,NA,1,NA,NA,NA,NA,NA,NA
matheus-mancini,80124,3,282,zag,Nulo,0,3,0,0,Atlético-MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrigo-moledo,63354,3,285,zag,Provável,6,5.22,1.45,2.97,Internacional,NA,1,1,1,1,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
iago,97868,3,285,lat,Provável,3.9,8.82,0.14,1.95,Internacional,NA,1,1,NA,1,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
victor-cuesta,79113,3,285,zag,Provável,5,12.72,-0.17,4.85,Internacional,1,2,NA,NA,2,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-henrique,90285,3,262,ata,Provável,-0.5,18.85,-1.92,6.17,Flamengo,1,3,2,4,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kannemann,87342,3,284,zag,Provável,3.7,14.12,-3.5,2.05,Grêmio,2,7,NA,NA,3,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
vinicius,71162,3,282,mei,Nulo,0,4.51,0,-0.5,Atlético-MG,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
everton,86757,3,284,ata,Provável,10.9,16.99,2.21,7.07,Grêmio,NA,NA,1,NA,2,2,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
victor,52950,3,282,gol,Provável,3.7,5.75,0.34,1.7,Atlético-MG,NA,NA,NA,NA,NA,NA,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA
cazares,81682,3,282,mei,Contundido,0,11,0,0,Atlético-MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
